date;season;temp;feeltemp;humidity;wind_speed;weather;is_holiday;is_weekend;is_restday;total
23/02/2015;winter;6.9;2.9;66.9;25.9;clear;0;0;0;21764
24/02/2015;winter;7.2;3.1;66.1;27;clear;0;0;0;23688
25/02/2015;winter;9.1;7.7;77.3;11.1;clear;0;0;0;21592
26/02/2015;winter;9.3;7.4;81.7;16.9;rain;0;0;0;20036
27/02/2015;winter;5.9;3.1;66.3;14.3;clear;0;0;0;24367
28/02/2015;winter;8.7;5.8;83.6;23.1;cloudy;0;1;1;13529
01/03/2015;winter;9.2;6.4;66.7;29.6;clear;0;1;1;15641
02/03/2015;winter;6.1;1.7;62.8;28.3;clear;0;0;0;22258
03/03/2015;winter;6.6;2.9;64.2;23;clear;0;0;0;23845
04/03/2015;winter;6.7;3.3;64.7;20.2;clear;0;0;0;24485
05/03/2015;winter;7.5;5.2;65.3;16.7;clear;0;0;0;24896
06/03/2015;winter;9.1;7.2;63.3;17.5;clear;0;0;0;25337
07/03/2015;winter;11;9.6;64.3;18.4;clear;0;1;1;27365
08/03/2015;winter;10;9;78.9;14.2;clear;0;1;1;20017
09/03/2015;winter;8.4;6.4;82.8;14.3;cloudy;0;0;0;24037
10/03/2015;winter;8.9;7.4;65.5;10.6;clear;0;0;0;27674
11/03/2015;winter;8.8;7.6;73.7;11.2;clear;0;0;0;27419
12/03/2015;winter;10;9;56.2;13.6;clear;0;0;0;28131
13/03/2015;winter;8.5;6.6;61.3;17.8;clear;0;0;0;25700
14/03/2015;winter;6.1;3;67;18;cloudy;0;1;1;18101
15/03/2015;winter;6.3;3.3;82.2;16.3;rain;0;1;1;10662
16/03/2015;winter;7;4.5;81.8;13.7;rain;0;0;0;19824
17/03/2015;winter;8.5;7.2;85.9;10.2;rain;0;0;0;25780
18/03/2015;winter;6.9;4.6;80.1;12.2;cloudy;0;0;0;26439
19/03/2015;winter;7.3;4.5;79.1;15.1;cloudy;0;0;0;24077
20/03/2015;spring;7.5;5.8;75.5;9.9;clear;0;0;0;25226
21/03/2015;spring;7.6;4.9;72;16.5;cloudy;0;1;1;16116
22/03/2015;spring;5.9;3.3;67.7;12.4;cloudy;0;1;1;18618
23/03/2015;spring;8;6.5;66.2;11.9;clear;0;0;0;25592
24/03/2015;spring;7.5;5.9;69.8;9.4;rain;0;0;0;24083
25/03/2015;spring;6.2;4.6;67.1;7.9;clear;0;0;0;25672
26/03/2015;spring;8.4;6.2;70.4;20.8;clear;0;0;0;20305
27/03/2015;spring;8.8;6.9;60.5;15.7;clear;0;0;0;26348
28/03/2015;spring;11.6;11.1;80.1;22.9;cloudy;0;1;1;18986
29/03/2015;spring;11.3;10.1;77.4;30.8;rain;0;1;1;8592
30/03/2015;spring;9.6;7.4;64.6;26.3;clear;0;0;0;22106
31/03/2015;spring;10.9;9.7;55.2;41.9;rain;0;0;0;22602
01/04/2015;spring;8.5;4.9;59.9;31.7;clear;0;0;0;23539
02/04/2015;spring;9.1;7.1;66.4;14.8;clear;0;0;0;22682
03/04/2015;spring;9.4;8.6;88.1;7.9;rain;1;0;1;11298
04/04/2015;spring;8.9;7;77.7;12.3;cloudy;0;1;1;12864
05/04/2015;spring;8.8;8.3;71.1;7;cloudy;0;1;1;19369
06/04/2015;spring;9.3;7.8;73.6;13.4;cloudy;1;0;1;25439
07/04/2015;spring;11.1;10.9;68.1;6.6;clear;0;0;0;29441
08/04/2015;spring;11.8;11.4;74;11;clear;0;0;0;30643
09/04/2015;spring;10.5;9.6;79.3;10.6;clear;0;0;0;31520
10/04/2015;spring;13;12.5;68;11.9;clear;0;0;0;32052
11/04/2015;spring;11.6;11.1;58.9;21.7;clear;0;1;1;25113
12/04/2015;spring;11.8;10.9;58.6;20.2;clear;0;1;1;29204
13/04/2015;spring;11.6;11.2;68.8;9.7;cloudy;0;0;0;28048
14/04/2015;spring;15.6;14.9;60.8;17.2;clear;0;0;0;34519
15/04/2015;spring;17.5;17.2;51.9;14.1;clear;0;0;0;37470
16/04/2015;spring;11.7;10.9;67;19.6;clear;0;0;0;30489
17/04/2015;spring;10.6;8.9;63.6;23.6;clear;0;0;0;29796
18/04/2015;spring;9.6;8.1;63.9;22.6;clear;0;1;1;29595
19/04/2015;spring;8.4;6.7;67.8;11.6;cloudy;0;1;1;19736
20/04/2015;spring;11.1;10.4;64.4;13.9;clear;0;0;0;32057
21/04/2015;spring;11.4;10.9;61.6;12.8;clear;0;0;0;34908
22/04/2015;spring;10.4;9.5;72.5;16.9;clear;0;0;0;32381
23/04/2015;spring;10.4;9;71.7;13.2;clear;0;0;0;32773
24/04/2015;spring;13;12.7;68.6;14.2;clear;0;0;0;32102
25/04/2015;spring;14.1;14.1;75.1;18.4;rain;0;1;1;25194
26/04/2015;spring;9.6;8.3;83.3;11.2;cloudy;0;1;1;19427
27/04/2015;spring;9.3;8.4;55.6;10.5;clear;0;0;0;30489
28/04/2015;spring;9.7;7.9;53.5;23;clear;0;0;0;31783
29/04/2015;spring;9.9;8;71.3;18.6;rain;0;0;0;26030
30/04/2015;spring;10.8;9.4;57.8;18.3;clear;0;0;0;31621
01/05/2015;spring;9.1;7.2;64.3;18.9;clear;0;0;0;29579
02/05/2015;spring;9.8;8.4;74.5;21.1;clear;0;1;1;22231
03/05/2015;spring;14.6;14.5;80.4;21.8;cloudy;0;1;1;21165
04/05/2015;spring;14.6;14.6;67.2;18.8;clear;1;0;1;26795
05/05/2015;spring;14.6;14.6;69.4;31;clear;0;0;0;26488
06/05/2015;spring;12.5;12.3;70.5;32.2;rain;0;0;0;24438
07/05/2015;spring;13.2;13.1;62.3;19.6;clear;0;0;0;31144
08/05/2015;spring;13.1;13;71.2;12.1;clear;0;0;0;26878
09/05/2015;spring;14.8;14.8;59.4;26.3;cloudy;0;1;1;27810
10/05/2015;spring;14.8;14.6;66.6;13.7;clear;0;1;1;32226
11/05/2015;spring;17.3;17.3;64.5;17.3;clear;0;0;0;33719
12/05/2015;spring;14.6;14.6;53.4;23.2;clear;0;0;0;33820
13/05/2015;spring;13.8;13.4;56.5;11.7;clear;0;0;0;36699
14/05/2015;spring;9.9;7.9;85;21.4;rain;0;0;0;15609
15/05/2015;spring;11.8;11;69.5;14.1;clear;0;0;0;32343
16/05/2015;spring;15.1;15.1;59.9;19.9;clear;0;1;1;32526
17/05/2015;spring;13.6;13.3;56.4;17.2;clear;0;1;1;31323
18/05/2015;spring;12.4;12;68.3;25.1;clear;0;0;0;24288
19/05/2015;spring;10.9;9.5;63.1;24.3;clear;0;0;0;28331
20/05/2015;spring;11.5;10.5;61.2;18.7;clear;0;0;0;30534
21/05/2015;spring;14.6;14;53;15.8;clear;0;0;0;34833
22/05/2015;spring;15.7;15.4;65.7;13.7;clear;0;0;0;33435
23/05/2015;spring;14.7;14.7;68.9;15;cloudy;0;1;1;23849
24/05/2015;spring;15.8;15.8;64.3;11.5;cloudy;0;1;1;30018
25/05/2015;spring;13.8;13.8;60.9;13.6;clear;1;0;1;29502
26/05/2015;spring;14.9;14.9;60.1;14.6;clear;0;0;0;34809
27/05/2015;spring;14.8;14.5;56.4;16.7;clear;0;0;0;36407
28/05/2015;spring;15;15;49.9;23.2;clear;0;0;0;34387
29/05/2015;spring;12.4;12.4;64;22.2;clear;0;0;0;26023
30/05/2015;spring;13.1;12.4;57.8;17.8;clear;0;1;1;29206
31/05/2015;spring;13.9;13.9;72.9;22.3;rain;0;1;1;14998
01/06/2015;spring;12.1;11.4;62.8;23.6;clear;0;0;0;27864
02/06/2015;spring;15.7;15.7;75;33.5;cloudy;0;0;0;27939
03/06/2015;spring;16.1;16.1;53.1;17.6;clear;0;0;0;35377
04/06/2015;spring;17;16.8;56.3;12.9;clear;0;0;0;39451
05/06/2015;spring;19.8;19.8;63.5;19.5;clear;0;0;0;34563
06/06/2015;spring;15.3;15.2;51.2;23.8;clear;0;1;1;32820
07/06/2015;spring;15;14.9;56;12.5;clear;0;1;1;35407
08/06/2015;spring;13.6;13.5;63.9;13.5;clear;0;0;0;32587
09/06/2015;spring;12;11.3;59.2;21;clear;0;0;0;33255
10/06/2015;spring;14;13.8;57.8;22;clear;0;0;0;35707
11/06/2015;spring;16.8;16.7;63.1;20.4;clear;0;0;0;38808
12/06/2015;spring;18.8;18.8;69.6;12.2;clear;0;0;0;35172
13/06/2015;spring;17.5;17.5;77.4;18.3;cloudy;0;1;1;30298
14/06/2015;spring;14.9;14.9;78.5;13.1;cloudy;0;1;1;25235
15/06/2015;spring;14.3;14.3;64.7;16.9;clear;0;0;0;34558
16/06/2015;spring;17;16.9;58.5;8.1;clear;0;0;0;37923
17/06/2015;spring;19.6;19.6;65.5;21.9;clear;0;0;0;38591
18/06/2015;spring;17.9;17.9;57.3;18.1;clear;0;0;0;38687
19/06/2015;spring;16.4;16.4;58.5;16;clear;0;0;0;35966
20/06/2015;spring;16.6;16.6;74.8;9.8;cloudy;0;1;1;26295
21/06/2015;summer;17.5;17.5;62.7;23;cloudy;0;1;1;30393
22/06/2015;summer;14.7;14.7;70.9;20.9;clear;0;0;0;29557
23/06/2015;summer;15.8;15.8;60.4;14.1;cloudy;0;0;0;37472
24/06/2015;summer;18.6;18.4;57.2;16.1;clear;0;0;0;38940
25/06/2015;summer;19.6;19.6;57;13.5;clear;0;0;0;38673
26/06/2015;summer;20.6;20.6;55.3;15.9;clear;0;0;0;37019
27/06/2015;summer;19.5;19.2;57.4;17;clear;0;1;1;36581
28/06/2015;summer;19.1;19.1;64.3;15.3;clear;0;1;1;25706
29/06/2015;summer;20.6;20.5;54.6;13.4;clear;0;0;0;39082
30/06/2015;summer;22.4;22;50.4;14.9;clear;0;0;0;43326
01/07/2015;summer;27.4;27.4;51;17.3;clear;0;0;0;42641
02/07/2015;summer;22.3;22.3;64.6;15.2;clear;0;0;0;38262
03/07/2015;summer;19.9;19.9;63.7;17.5;clear;0;0;0;39611
04/07/2015;summer;22.2;22.2;66.2;17.4;clear;0;1;1;38283
05/07/2015;summer;18.6;18.6;64.7;13.7;clear;0;1;1;29716
06/07/2015;summer;19;18.7;59;15.5;clear;0;0;0;38620
07/07/2015;summer;19.5;19.4;58.1;21.5;clear;0;0;0;37908
08/07/2015;summer;17.8;17.8;62.4;23.8;cloudy;0;0;0;41703
10/07/2015;summer;20.8;20.3;47.2;12.9;clear;0;0;0;42779
11/07/2015;summer;21.4;21.3;54.2;17.4;clear;0;1;1;42091
12/07/2015;summer;18.5;18.5;75.5;21.7;cloudy;0;1;1;23240
13/07/2015;summer;19;19;81.5;20;cloudy;0;0;0;26920
14/07/2015;summer;19.4;19.4;76.6;16;cloudy;0;0;0;35348
15/07/2015;summer;19.6;19.6;76.9;12;cloudy;0;0;0;34574
16/07/2015;summer;19.9;19.9;65.5;22;cloudy;0;0;0;39306
17/07/2015;summer;20.4;20.4;62.7;20;clear;0;0;0;38505
18/07/2015;summer;18.7;18.5;54;17.6;clear;0;1;1;38491
19/07/2015;summer;20;19.7;49.3;19;clear;0;1;1;36693
20/07/2015;summer;19.1;19.1;77.9;13.4;cloudy;0;0;0;27163
21/07/2015;summer;20.4;20.4;58.4;22.4;clear;0;0;0;40696
22/07/2015;summer;19.3;19.2;61;17.8;clear;0;0;0;37915
23/07/2015;summer;18.2;18.1;56.5;13.6;clear;0;0;0;39092
24/07/2015;summer;15.9;15.9;75.4;11.5;rain;0;0;0;16034
25/07/2015;summer;16.7;16.7;61.7;19.9;clear;0;1;1;32608
26/07/2015;summer;15.5;15.5;77.6;16.3;clear;0;1;1;12398
27/07/2015;summer;17.8;17.8;67.2;28.2;cloudy;0;0;0;31904
28/07/2015;summer;17.1;17.1;58.8;27.9;clear;0;0;0;36101
29/07/2015;summer;15.8;15.8;60.9;19.7;clear;0;0;0;36761
30/07/2015;summer;15.9;15.9;60.2;14.9;clear;0;0;0;36145
31/07/2015;summer;17;16.9;58.6;8.2;clear;0;0;0;36675
01/08/2015;summer;17.7;17.6;55.7;12.6;clear;0;1;1;43017
02/08/2015;summer;19.8;19.5;57.8;12.5;clear;0;1;1;43295
03/08/2015;summer;19.8;19.8;68.3;17.6;cloudy;0;0;0;35402
04/08/2015;summer;18.3;18.3;61;22.9;clear;0;0;0;37644
05/08/2015;summer;18.4;18.4;64.6;11.1;clear;0;0;0;38770
07/08/2015;summer;19.5;19.5;62.7;9;clear;0;0;0;39486
08/08/2015;summer;19.7;19.7;69.4;11;clear;0;1;1;38993
09/08/2015;summer;21.3;21.1;55.8;12.3;clear;0;1;1;40441
10/08/2015;summer;20.3;20.3;74;18.1;cloudy;0;0;0;35335
11/08/2015;summer;18.3;18.3;64.6;7.4;clear;0;0;0;34318
12/08/2015;summer;18.5;18.5;70.4;16.8;cloudy;0;0;0;36548
13/08/2015;summer;18.9;18.9;83.9;15.1;cloudy;0;0;0;25974
14/08/2015;summer;19;19;85.6;12.5;cloudy;0;0;0;25419
15/08/2015;summer;17.6;17.6;63.3;13.5;clear;0;1;1;33739
16/08/2015;summer;16.8;16.8;63.4;7;clear;0;1;1;30616
17/08/2015;summer;17.8;17.8;55.8;9.7;clear;0;0;0;35695
18/08/2015;summer;17.6;17.6;59.5;16.1;clear;0;0;0;34530
19/08/2015;summer;17.9;17.9;68.5;15.1;clear;0;0;0;31640
20/08/2015;summer;19;19;81.4;13.8;cloudy;0;0;0;32554
21/08/2015;summer;22.1;22.1;68.9;14.6;clear;0;0;0;35882
22/08/2015;summer;23.2;23.2;62.8;12.3;clear;0;1;1;44187
23/08/2015;summer;19.5;19.5;68;16.9;clear;0;1;1;27001
24/08/2015;summer;15.8;15.8;87.5;13.4;rain;0;0;0;17400
25/08/2015;summer;16.2;16.2;79.3;20.1;clear;0;0;0;28152
26/08/2015;summer;18.3;18.3;80.7;22;rain;0;0;0;23738
27/08/2015;summer;16.8;16.8;73;17.5;clear;0;0;0;30528
28/08/2015;summer;17;17;66.9;15.8;clear;0;0;0;32950
29/08/2015;summer;18.3;18.3;72.7;7.8;clear;0;1;1;22618
30/08/2015;summer;17.8;17.8;80.3;10.5;cloudy;0;1;1;24972
31/08/2015;summer;15.5;15.5;89.5;10.4;rain;1;0;1;9639
01/09/2015;summer;15.5;15.5;79.8;9.5;cloudy;0;0;0;25556
02/09/2015;summer;14.7;14.7;73.3;10.2;clear;0;0;0;30180
03/09/2015;summer;13.9;13.9;68.8;13;clear;0;0;0;30950
04/09/2015;summer;14.3;14.3;65.3;13.1;clear;0;0;0;29709
05/09/2015;summer;13.4;13.4;71.5;11.3;cloudy;0;1;1;22317
06/09/2015;summer;14.1;13.9;64.7;9.8;clear;0;1;1;29429
07/09/2015;summer;14.3;14.3;72.2;9.8;clear;0;0;0;31692
08/09/2015;summer;14.1;14.1;73.4;8.4;cloudy;0;0;0;32781
09/09/2015;summer;15.8;15.8;71.6;14.1;cloudy;0;0;0;33116
10/09/2015;summer;16.2;16.2;71.8;15;clear;0;0;0;35734
11/09/2015;summer;16.6;16.6;72;16.8;clear;0;0;0;33190
12/09/2015;summer;18.3;18.3;63.8;17.5;clear;0;1;1;27023
13/09/2015;summer;14;14;73;11;clear;0;1;1;26166
14/09/2015;summer;14.5;14.5;78.8;18.6;rain;0;0;0;25811
15/09/2015;summer;14.3;14.3;75;18;clear;0;0;0;28066
16/09/2015;summer;13.8;13.8;89.7;13.4;rain;0;0;0;18653
17/09/2015;summer;14.8;14.8;72.8;16.7;clear;0;0;0;32075
18/09/2015;summer;15.1;15.1;78.4;9.5;clear;0;0;0;29829
19/09/2015;summer;15.2;15.2;71;7;clear;0;1;1;31826
20/09/2015;summer;15.4;15.4;73.7;11.4;clear;0;1;1;31141
21/09/2015;summer;14.7;14.7;83.6;13.5;clear;0;0;0;23676
22/09/2015;summer;12.4;12.4;83.1;12.6;rain;0;0;0;20434
23/09/2015;autumn;14.1;13.9;71.5;18.3;clear;0;0;0;33977
24/09/2015;autumn;15.6;15.6;71.7;19.9;clear;0;0;0;29396
25/09/2015;autumn;13.7;13.7;67.5;10.7;clear;0;0;0;34783
26/09/2015;autumn;13.2;13.2;68.9;8.5;clear;0;1;1;32636
27/09/2015;autumn;13.6;13.6;72.6;11.6;clear;0;1;1;29817
28/09/2015;autumn;14;14;74.2;14.9;clear;0;0;0;33138
29/09/2015;autumn;14.8;14.8;70.1;16.4;clear;0;0;0;34436
30/09/2015;autumn;14.3;14.3;68.2;17;clear;0;0;0;34941
01/10/2015;autumn;14.3;14.3;71.9;15.8;clear;0;0;0;34562
02/10/2015;autumn;13.7;13.7;73.3;10.7;clear;0;0;0;35503
03/10/2015;autumn;12.7;12.7;81.2;5.7;cloudy;0;1;1;28956
04/10/2015;autumn;13.3;13.1;72.8;9.9;clear;0;1;1;29884
05/10/2015;autumn;15.9;15.9;87.9;13.8;rain;0;0;0;20741
06/10/2015;autumn;16.6;16.6;87.2;12.4;rain;0;0;0;25892
07/10/2015;autumn;14.9;14.9;81.9;19.1;cloudy;0;0;0;28629
08/10/2015;autumn;12.4;11.8;72.8;8.4;clear;0;0;0;33676
09/10/2015;autumn;12.6;12.5;76.8;6.9;clear;0;0;0;32006
10/10/2015;autumn;13;13;81.3;11.1;clear;0;1;1;29416
11/10/2015;autumn;12.3;12;72.6;13.2;clear;0;1;1;27796
12/10/2015;autumn;11.3;11;70.1;10;cloudy;0;0;0;31292
13/10/2015;autumn;10.6;9.4;73.4;14.5;cloudy;0;0;0;20114
14/10/2015;autumn;10.5;9.8;75;13.5;clear;0;0;0;30579
15/10/2015;autumn;11.2;10.6;77.9;13.1;cloudy;0;0;0;30874
16/10/2015;autumn;12.5;12.5;78.6;16.5;cloudy;0;0;0;30075
17/10/2015;autumn;12.1;12.1;76.8;13.8;cloudy;0;1;1;24327
18/10/2015;autumn;13;13;79.7;9.1;cloudy;0;1;1;23070
19/10/2015;autumn;12.7;12.7;79.2;7.4;cloudy;0;0;0;29952
20/10/2015;autumn;11.5;11.3;75.5;8;clear;0;0;0;32718
21/10/2015;autumn;12.5;12.3;88.4;15.5;rain;0;0;0;18922
22/10/2015;autumn;14;14;69.9;16.9;cloudy;0;0;0;30326
23/10/2015;autumn;12.9;12.9;65.5;7.5;cloudy;0;0;0;30273
24/10/2015;autumn;12.7;12.5;77.8;10.8;rain;0;1;1;16876
25/10/2015;autumn;9;7.8;75.7;8.5;clear;0;1;1;23133
26/10/2015;autumn;11.7;11;85.9;13.6;cloudy;0;0;0;30364
27/10/2015;autumn;14.4;14.4;85;12.2;clear;0;0;0;32436
28/10/2015;autumn;13.6;13.6;84.8;10.9;rain;0;0;0;23881
29/10/2015;autumn;13.4;13.3;87.8;13.4;clear;0;0;0;27339
30/10/2015;autumn;14.7;14.7;82;13.6;rain;0;0;0;23970
31/10/2015;autumn;12.4;12.4;87.9;9.8;clear;0;1;1;27464
01/11/2015;autumn;9.2;8.9;97.7;5.2;cloudy;0;1;1;22848
02/11/2015;autumn;10.5;10;95;9.2;cloudy;0;0;0;28033
03/11/2015;autumn;11.9;11.7;88.6;9;cloudy;0;0;0;30710
04/11/2015;autumn;13.5;13.5;88.5;8.4;clear;0;0;0;23462
05/11/2015;autumn;15.2;15.2;87.4;14.3;cloudy;0;0;0;24503
06/11/2015;autumn;16.2;16.2;84.8;18.1;cloudy;0;0;0;25431
07/11/2015;autumn;15.8;15.8;83.6;22.9;rain;0;1;1;14881
08/11/2015;autumn;14.2;14.1;85.5;16.3;cloudy;0;1;1;18754
09/11/2015;autumn;13.9;13.9;74;27;cloudy;0;0;0;28474
10/11/2015;autumn;15.8;15.8;81.5;22.9;cloudy;0;0;0;29206
11/11/2015;autumn;14.8;14.8;71.7;20.3;cloudy;0;0;0;29899
12/11/2015;autumn;14.3;14.3;81.2;17.2;clear;0;0;0;28962
13/11/2015;autumn;10.7;8.8;66;27.9;clear;0;0;0;25252
14/11/2015;autumn;11.3;9.8;81.3;23.3;rain;0;1;1;8898
15/11/2015;autumn;15.5;15.5;72.5;34.1;cloudy;0;1;1;17594
16/11/2015;autumn;13.6;13.6;73.6;21.9;clear;0;0;0;26507
17/11/2015;autumn;14.8;14.8;77.4;29.2;rain;0;0;0;22768
18/11/2015;autumn;14;14;69.5;31.7;clear;0;0;0;25926
19/11/2015;autumn;11.6;11.2;80;21.5;rain;0;0;0;23695
20/11/2015;autumn;9.1;6.1;67.5;22.3;clear;0;0;0;25788
21/11/2015;autumn;4.4;-0.4;68;26.3;clear;0;1;1;12751
22/11/2015;autumn;3.5;0.8;74.7;10.7;clear;0;1;1;13118
23/11/2015;autumn;5;2.7;75;11.1;clear;0;0;0;23908
24/11/2015;autumn;9;6.2;83.7;19.9;rain;0;0;0;21175
25/11/2015;autumn;8.9;6.9;76.7;16.2;clear;0;0;0;26000
26/11/2015;autumn;9.4;8.5;86.3;7.5;cloudy;0;0;0;26626
27/11/2015;autumn;11.3;10.5;83.7;20.7;cloudy;0;0;0;23517
28/11/2015;autumn;8.1;5.4;69.8;27.3;clear;0;1;1;16336
29/11/2015;autumn;12;12;72;34.1;cloudy;0;1;1;11392
30/11/2015;autumn;12;11.5;77.5;26.1;cloudy;0;0;0;20918
01/12/2015;autumn;13;13;74.3;20.3;cloudy;0;0;0;26559
02/12/2015;autumn;13;13;72.5;20.8;clear;0;0;0;27789
03/12/2015;autumn;12.9;12.9;76.9;21.1;clear;0;0;0;25899
04/12/2015;autumn;11;10;70.3;25.1;clear;0;0;0;25956
05/12/2015;autumn;12.6;12.6;66.3;36.8;clear;0;1;1;16511
06/12/2015;autumn;13.4;13.4;80.3;23.1;cloudy;0;1;1;15478
07/12/2015;autumn;13.3;13.3;81.5;14.5;cloudy;0;0;0;25734
08/12/2015;autumn;12.3;11.7;73.8;20.8;clear;0;0;0;23430
09/12/2015;autumn;9.6;8.5;73.9;18.3;clear;0;0;0;27562
10/12/2015;autumn;11.5;11.4;77.9;22.4;cloudy;0;0;0;23115
11/12/2015;autumn;10.1;8.9;76;20.4;cloudy;0;0;0;23259
12/12/2015;autumn;11.7;11.2;73.1;23.4;cloudy;0;1;1;15815
13/12/2015;autumn;8.4;6.9;91.4;10.3;rain;0;1;1;12291
14/12/2015;autumn;9.2;7.7;85;9.7;cloudy;0;0;0;23835
15/12/2015;autumn;11.5;11.1;92.3;10.7;cloudy;0;0;0;20201
16/12/2015;autumn;14.5;14.5;81.7;20.5;cloudy;0;0;0;25558
17/12/2015;autumn;14.3;14.3;72.5;18.9;clear;0;0;0;25804
18/12/2015;autumn;13.1;13.1;79;17.2;clear;0;0;0;25730
19/12/2015;autumn;15.4;15.4;74.5;22.3;clear;0;1;1;18754
20/12/2015;autumn;12.8;12.5;74.3;20.4;clear;0;1;1;13060
21/12/2015;autumn;10.9;9.7;77.5;22.6;clear;0;0;0;18136
22/12/2015;winter;14.2;14.2;80.7;31.4;rain;0;0;0;17458
23/12/2015;winter;11.4;11.1;69;23.2;clear;0;0;0;18451
24/12/2015;winter;10.9;9.9;68.3;25.6;cloudy;0;0;0;8908
25/12/2015;winter;11.3;10.4;79.4;18;rain;1;0;1;22423
26/12/2015;winter;14.7;14.7;74.1;27.4;cloudy;0;1;1;10230
27/12/2015;winter;14.3;14.3;81.1;22;cloudy;0;1;1;9378
28/12/2015;winter;11.7;11.6;73.4;15;clear;1;0;1;13732
29/12/2015;winter;11.8;11.6;74.5;17.2;clear;0;0;0;15592
30/12/2015;winter;12.6;12.5;69.4;25.1;rain;0;0;0;12301
31/12/2015;winter;9.5;7.2;69.3;23.4;clear;0;0;0;13889
01/01/2016;winter;6.5;3.7;82.5;16.7;clear;1;0;1;9797
02/01/2016;winter;10.5;9.4;87;21.6;rain;0;1;1;7195
03/01/2016;winter;8.6;6.4;83.5;16.2;rain;0;1;1;4869
04/01/2016;winter;8.9;7;82.6;12.5;clear;0;0;0;20533
05/01/2016;winter;9;7.9;85.7;8.4;clear;0;0;0;22805
06/01/2016;winter;7;6;90.3;6.5;cloudy;0;0;0;23038
